Adoring>>|<<imp. &amp; p. p. Adored (/); p. pr. &amp; vb. n.>>|<<of Adore
Affianced>>|<<imp. / p. p.>>|<<of Affiance
Affiancing>>|<<p. pr. / vb. n.>>|<<of Affiance
Alloo>>|<<v. t. / i.>>|<<To incite dogs by a call; to halloo.
Amalgam>>|<<v. t. / i.>>|<<To amalgamate.
Antiemetic>>|<<a. / n.>>|<<Same as Antemetic.
Bail>>|<<v./t.>>|<<To deliver; to release.
Bail>>|<<v./t.>>|<<To set free, or deliver from arrest, or out of custody, on the undertaking of some other person or persons that he or they will be responsible for the appearance, at a certain day and place, of the person bailed.
Bail>>|<<v./t.>>|<<To deliver, as goods in trust, for some special object or purpose, upon a contract, expressed or implied, that the trust shall be faithfully executed on the part of the bailee, or person intrusted; as, to bail cloth to a tailor to be made into a garment; to bail goods to a carrier.
Barratrous>>|<</>>|<<Tainter with, or constituting, barratry.
Billage>>|<<n. / v. t. &amp; i.>>|<<Same as Bilge.
Candify>>|<<v. t. / v. i.>>|<<To make or become white, or candied.
Catechumen>>|<<L. catechunenus, Gr. / instructed, from /. See>>|<<One who is receiving rudimentary instruction in the doctrines of Christianity; a neophyte; in the primitive church, one officially recognized as a Christian, and admitted to instruction preliminary to admission to full membership in the church.
Chaped>>|<<p. p. / a.>>|<<Furnished with a chape or chapes.
Claim>>|<<v./.>>|<<To ask for, or seek to obtain, by virtue of authority, right, or supposed right; to challenge as a right; to demand as due.
Claim>>|<<v./.>>|<<To proclaim.
Claim>>|<<v./.>>|<<To call or name.
Claim>>|<<v./.>>|<<To assert; to maintain.
Delineament>>|<</.>>|<<Delineation; sketch.
Dickens>>|<<n. / interj.>>|<<The devil.
Do>>|<<v. t. / auxiliary>>|<<To place; to put.
Do>>|<<v. t. / auxiliary>>|<<To cause; to make; -- with an infinitive.
Do>>|<<v. t. / auxiliary>>|<<To bring about; to produce, as an effect or result; to effect; to achieve.
Do>>|<<v. t. / auxiliary>>|<<To perform, as an action; to execute; to transact to carry out in action; as, to do a good or a bad act; do our duty; to do what I can.
Do>>|<<v. t. / auxiliary>>|<<To bring to an end by action; to perform completely; to finish; to accomplish; -- a sense conveyed by the construction, which is that of the past participle done.
Do>>|<<v. t. / auxiliary>>|<<To make ready for an object, purpose, or use, as food by cooking; to cook completely or sufficiently; as, the meat is done on one side only.
Do>>|<<v. t. / auxiliary>>|<<To put or bring into a form, state, or condition, especially in the phrases, to do death, to put to death; to slay; to do away (often do away with), to put away; to remove; to do on, to put on; to don; to do off, to take off, as dress; to doff; to do into, to put into the form of; to translate or transform into, as a text.
Do>>|<<v. t. / auxiliary>>|<<To cheat; to gull; to overreach.
Do>>|<<v. t. / auxiliary>>|<<To see or inspect; to explore; as, to do all the points of interest.
Do>>|<<v. t. / auxiliary>>|<<To cash or to advance money for, as a bill or note.
Each>>|<<a. / a. pron.>>|<<Every one of the two or more individuals composing a number of objects, considered separately from the rest. It is used either with or without a following noun; as, each of you or each one of you.
Each>>|<<a. / a. pron.>>|<<Every; -- sometimes used interchangeably with every.
Eche>>|<<a. / a. pron.>>|<<Each.
Encore>>|<<adv. / interj.>>|<<Once more; again; -- used by the auditors and spectators of plays, concerts, and other entertainments, to call for a repetition of a particular part.
Ergo>>|<<conj. / adv.>>|<<Therefore; consequently; -- often used in a jocular way.
Fencing>>|<<imp. &amp; p. p. Fenced (/); p. pr. &amp; vb. n.>>|<<of Fence
Flatwise>>|<<a. / adv.>>|<<With the flat side downward, or next to another object; not edgewise.
Flock>>|<<sing. / pl.>>|<<Very fine, sifted, woolen refuse, especially that from shearing the nap of cloths, used as a coating for wall paper to give it a velvety or clothlike appearance; also, the dust of vegetable fiber used for a similar purpose.
Forfeit>>|<<p. p. / a.>>|<<In the condition of being forfeited; subject to alienation.
Gaudygreen>>|<<a. / n.>>|<<Light green.
Good-by>>|<<n. / interj.>>|<<Alt. of Good-bye
Good-bye>>|<<n. / interj.>>|<<Farewell; a form of address used at parting. See the last Note under By, prep.
Hazarding>>|<<p. pr. &amp; vb. />>|<<of Hazard
Idem>>|<<pron. / adj.>>|<<The same; the same as above; -- often abbreviated id.
Impromptu>>|<<adv. / a.>>|<<Offhand; without previous study; extemporaneous; extempore; as, an impromptu verse.
Incognito>>|<<a. / adv.>>|<<Without being known; in disguise; in an assumed character, or under an assumed title; -- said esp. of great personages who sometimes adopt a disguise or an assumed character in order to avoid notice.
Inwrought>>|<<p. p. / a.>>|<<Wrought or worked in or among other things; worked into any fabric so as to from a part of its texture; wrought or adorned, as with figures.
Ironsides>>|<<n. />>|<<A cuirassier or cuirassiers; also, hardy veteran soldiers; -- applied specifically to Cromwell's cavalry.
Many>>|<<a. / pron.>>|<<Consisting of a great number; numerous; not few.
Mesa>>|<</.>>|<<A high tableland; a plateau on a hill.
Must>>|<<v. i. / auxiliary>>|<<To be obliged; to be necessitated; -- expressing either physical or moral necessity; as, a man must eat for nourishment; we must submit to the laws.
Must>>|<<v. i. / auxiliary>>|<<To be morally required; to be necessary or essential to a certain quality, character, end, or result; as, he must reconsider the matter; he must have been insane.
Neverthelater>>|<<adv. / conj.>>|<<Nevertheless.
Nevertheless>>|<<adv. / conj.>>|<<Not the less; notwithstanding; in spite of that; yet.
Notwithstanding>>|<<adv. / conj.>>|<<Nevertheless; however; although; as, I shall go, notwithstanding it rains.
Obscene>>|<<a/>>|<<Offensive to chastity or modesty; expressing of presenting to the mind or view something which delicacy, purity, and decency forbid to be exposed; impure; as, obscene language; obscene pictures.
Obscene>>|<<a/>>|<<Foul; fifthy; disgusting.
Obscene>>|<<a/>>|<<Inauspicious; ill-omened.
Parde>>|<<adv. / interj.>>|<<Alt. of Pardie
Pardie>>|<<adv. / interj.>>|<<Certainly; surely; truly; verily; -- originally an oath.
Pellet>>|<<v./.>>|<<To form into small balls.
Proven>>|<<p. p. / a.>>|<<Proved.
Red-hand>>|<<a. / adv.>>|<<Alt. of Red-handed
Red-handed>>|<<a. / adv.>>|<<Having hands red with blood; in the very act, as if with red or bloody hands; -- said of a person taken in the act of homicide; hence, fresh from the commission of crime; as, he was taken red-hand or red-handed.
Refraining>>|<<p. pr. &amp; vb/ n.>>|<<of Refrain
Rencountering>>|<<p. pr. &amp; vb/ n.>>|<<of Rencounter
Ribald>>|<<n./>>|<<A low, vulgar, brutal, foul-mouthed wretch; a lewd fellow.
Sweepstakes>>|<<sing. / pl.>>|<<The whole money or other things staked at a horse race, a given sum being put up for each horse, all of which goes to the winner, or is divided among several, as may be previously agreed.
Sweepstakes>>|<<sing. / pl.>>|<<A race for all the sums staked or prizes offered.
