Adieu>>|<<interj. &amp; adv.>>|<<Good-by; farewell; an expression of kind wishes at parting.
Ah>>|<<interj.>>|<<An exclamation, expressive of surprise, pity, complaint, entreaty, contempt, threatening, delight, triumph, etc., according to the manner of utterance.
Aha>>|<<interj.>>|<<An exclamation expressing, by different intonations, triumph, mixed with derision or irony, or simple surprise.
Ahem>>|<<interj.>>|<<An exclamation to call one's attention; hem.
Ahey>>|<<interj.>>|<<Hey; ho.
Ahoy>>|<<interj.>>|<<A term used in hailing; as, "Ship ahoy."
Alack>>|<<interj.>>|<<An exclamation expressive of sorrow.
Alackaday>>|<<interj.>>|<<An exclamation expressing sorrow.
Alas>>|<<interj.>>|<<An exclamation expressive of sorrow, pity, or apprehension of evil; -- in old writers, sometimes followed by day or white; alas the day, like alack a day, or alas the white.
All hail>>|<<interj.>>|<<All health; -- a phrase of salutation or welcome.
Anan>>|<<interj.>>|<<An expression equivalent to What did you say? Sir? Eh?
Aroint>>|<<interj.>>|<<Stand off, or begone.
Aroynt>>|<<interj.>>|<<See Aroint.
Avaunt>>|<<interj.>>|<<Begone; depart; -- a word of contempt or abhorrence, equivalent to the phrase "Get thee gone."
Ay>>|<<interj.>>|<<Ah! alas!
Baccare>>|<<interj.>>|<<Alt. of Backare
Backare>>|<<interj.>>|<<Stand back! give place! -- a cant word of the Elizabethan writers, probably in ridicule of some person who pretended to a knowledge of Latin which he did not possess.
Backare>>|<<interj.>>|<<Same as Baccare.
Bah>>|<<interj.>>|<<An exclamation expressive of extreme contempt.
Basta>>|<<interj.>>|<<Enough; stop.
Begone>>|<<interj.>>|<<Go away; depart; get you gone.
Bismillah>>|<<interj.>>|<<An adjuration or exclamation common among the Mohammedans.
Bo>>|<<interj.>>|<<An exclamation used to startle or frighten.
Bravo>>|<<interj.>>|<<Well done! excellent! an exclamation expressive of applause.
Clum>>|<<interj.>>|<<Silence; hush.
Depardieux>>|<<interj.>>|<<In God's name; certainly.
Egad>>|<<interj.>>|<<An exclamation expressing exultation or surprise, etc.
Eh>>|<<interj.>>|<<An expression of inquiry or slight surprise.
Eigh>>|<<interj.>>|<<An exclamation expressing delight.
Enough>>|<<interj.>>|<<An exclamation denoting sufficiency, being a shortened form of it is enough.
Faith>>|<<interj.>>|<<By my faith; in truth; verily.
Farewell>>|<<interj.>>|<<Go well; good-by; adieu;  -- originally applied to a person departing, but by custom now applied both to those who depart and those who remain. It is often separated by the pronoun; as, fare you well; and is sometimes used as an expression of separation only; as, farewell the year; farewell, ye sweet groves; that is, I bid you farewell.
Faugh>>|<<interj.>>|<<An exclamation of contempt, disgust, or abhorrence.
Fiddledeedee>>|<<interj.>>|<<An exclamatory word or phrase, equivalent to nonsense!
Fie>>|<<interj.>>|<<An exclamation denoting contempt or dislike. See Fy.
Foh>>|<<interj.>>|<<An exclamation of abhorrence or contempt; poh; fle.
Fugh>>|<<interj.>>|<<An exclamation of disgust; foh; faugh.
Fy>>|<<interj.>>|<<A word which expresses blame, dislike, disapprobation, abhorrence, or contempt. See Fie.
Good-den>>|<<interj.>>|<<A form of salutation.
Gramercy>>|<<interj.>>|<<A word formerly used to express thankfulness, with surprise; many thanks.
Ha>>|<<interj.>>|<<An exclamation denoting surprise, joy, or grief. Both as uttered and as written, it expresses a great variety of emotions, determined by the tone or the context. When repeated, ha, ha, it is an expression of laughter, satisfaction, or triumph, sometimes of derisive laughter; or sometimes it is equivalent to  "Well, it is so."
Hah>>|<<interj.>>|<<Same as Ha.
Halleluiah>>|<<n. &amp; interj.>>|<<Alt. of Hallelujah
Hallelujah>>|<<n. &amp; interj.>>|<<Praise ye Jehovah; praise ye the Lord; -- an exclamation used chiefly in songs of praise or thanksgiving to God, and as an expression of gratitude or adoration.
Harrow>>|<<interj.>>|<<Help! Halloo! An exclamation of distress; a call for succor;-the ancient Norman hue and cry.
Heartlings>>|<<interj.>>|<<An exclamation used in addressing a familiar acquaintance.
Heigh-ho>>|<<interj.>>|<<An exclamation of surprise, joy, dejection, uneasiness, weariness, etc.
Hello>>|<<interj. &amp; n.>>|<<See Halloo.
Hem>>|<<interj.>>|<<An onomatopoetic word used as an expression of hesitation, doubt, etc. It is often a sort of voluntary half cough, loud or subdued, and would perhaps be better expressed by hm.
Hey>>|<<interj.>>|<<An exclamation of joy, surprise, or encouragement.
Hey>>|<<interj.>>|<<A cry to set dogs on.
Heyday>>|<<interj.>>|<<An expression of frolic and exultation, and sometimes of wonder.
Hip>>|<<interj.>>|<<Used to excite attention or as a signal; as, hip, hip, hurra!
Hist>>|<<interj.>>|<<Hush; be silent; -- a signal for silence.
Ho>>|<<interj.>>|<<Alt. of Hoa
Hoa>>|<<interj.>>|<<A stop; a halt; a moderation of pace.
Ho>>|<<interj.>>|<<Alt. of Hoa
Hoa>>|<<interj.>>|<<Halloo! attend! -- a call to excite attention, or to give notice of approach.
Hoa>>|<<interj.>>|<<Stop! stand still! hold! -- a word now used by teamsters, but formerly to order the cessation of anything.
Holla>>|<<interj.>>|<<Hollo.
Hollo>>|<<interj. &amp; n.>>|<<Ho there; stop; attend; hence, a loud cry or a call to attract attention; a halloo.
Hollo>>|<<interj.>>|<<To call out or exclaim; to halloo.  This form is now mostly replaced by hello.
