Harlequin>>|<<n. i.>>|<<To play the droll; to make sport by playing ludicrous tricks.
Hobble>>|<<n. i.>>|<<To walk lame, bearing chiefly on one leg; to walk with a hitch or hop, or with crutches.
Hobble>>|<<n. i.>>|<<To move roughly or irregularly; -- said of style in writing.
Hold>>|<<n. i.>>|<<In general, to keep one's self in a given position or condition; to remain fixed. Hence:
Hold>>|<<n. i.>>|<<Not to more; to halt; to stop;-mostly in the imperative.
Hold>>|<<n. i.>>|<<Not to give way; not to part or become separated; to remain unbroken or unsubdued.
Hold>>|<<n. i.>>|<<Not to fail or be found wanting; to continue; to last; to endure a test or trial; to abide; to persist.
Hold>>|<<n. i.>>|<<Not to fall away, desert, or prove recreant; to remain attached; to cleave;-often with with, to, or for.
Hold>>|<<n. i.>>|<<To restrain one's self; to refrain.
Hold>>|<<n. i.>>|<<To derive right or title; -- generally with of.
Trip>>|<<n. i.>>|<<To move with light, quick steps; to walk or move lightly; to skip; to move the feet nimbly; -- sometimes followed by it. See It, 5.
Trip>>|<<n. i.>>|<<To make a brief journey or pleasure excursion; as, to trip to Europe.
Trip>>|<<n. i.>>|<<To take a quick step, as when in danger of losing one's balance; hence, to make a false; to catch the foot; to lose footing; to stumble.
Trip>>|<<n. i.>>|<<Fig.: To be guilty of a misstep; to commit an offense against morality, propriety, or rule; to err; to mistake; to fail.
