Abandon>>|<<v.>>|<<Abandonment; relinquishment.
Abortifacient>>|<<v.>>|<<Producing miscarriage.
Abortive>>|<<v.>>|<<Produced by abortion; born prematurely; as, an abortive child.
Abortive>>|<<v.>>|<<Made from the skin of a still-born animal; as, abortive vellum.
Abortive>>|<<v.>>|<<Rendering fruitless or ineffectual.
Abortive>>|<<v.>>|<<Coming to naught; failing in its effect; miscarrying; fruitless; unsuccessful; as, an abortive attempt.
Abortive>>|<<v.>>|<<Imperfectly formed or developed; rudimentary; sterile; as, an abortive organ, stamen, ovule, etc.
Abortive>>|<<v.>>|<<Causing abortion; as, abortive medicines.
Abortive>>|<<v.>>|<<Cutting short; as, abortive treatment of typhoid fever.
Abray>>|<<v.>>|<<See Abraid.
Accordment>>|<<v.>>|<<Agreement; reconcilement.
Address>>|<<v.>>|<<To aim; to direct.
Address>>|<<v.>>|<<To prepare or make ready.
Address>>|<<v.>>|<<Reflexively: To prepare one's self; to apply one's skill or energies (to some object); to betake.
Address>>|<<v.>>|<<To clothe or array; to dress.
Address>>|<<v.>>|<<To direct, as words (to any one or any thing); to make, as a speech, petition, etc. (to any one, an audience).
Address>>|<<v.>>|<<To direct speech to; to make a communication to, whether spoken or written; to apply to by words, as by a speech, petition, etc., to speak to; to accost.
Address>>|<<v.>>|<<To direct in writing, as a letter; to superscribe, or to direct and transmit; as, he addressed a letter.
Address>>|<<v.>>|<<To make suit to as a lover; to court; to woo.
Address>>|<<v.>>|<<To consign or intrust to the care of another, as agent or factor; as, the ship was addressed to a merchant in Baltimore.
Adfected>>|<<v.>>|<<See Affected, 5.
Advance>>|<<v.>>|<<The act of advancing or moving forward or upward; progress.
Advance>>|<<v.>>|<<Improvement or progression, physically, mentally, morally, or socially; as, an advance in health, knowledge, or religion; an advance in rank or office.
Advance>>|<<v.>>|<<An addition to the price; rise in price or value; as, an advance on the prime cost of goods.
Advance>>|<<v.>>|<<The first step towards the attainment of a result; approach made to gain favor, to form an acquaintance, to adjust a difference, etc.; an overture; a tender; an offer; -- usually in the plural.
Advance>>|<<v.>>|<<A furnishing of something before an equivalent is received (as money or goods), towards a capital or stock, or on loan; payment beforehand; the money or goods thus furnished; money or value supplied beforehand.
Agrace>>|<<n. &amp; v.>>|<<See Aggrace.
Ake>>|<<n. &amp; v.>>|<<See Ache.
Allonge>>|<<v.>>|<<A thrust or pass; a lunge.
Allonge>>|<<v.>>|<<A slip of paper attached to a bill of exchange for receiving indorsements, when the back of the bill itself is already full; a rider.
Ally>>|<<v.>>|<<A relative; a kinsman.
Ally>>|<<v.>>|<<One united to another by treaty or league; -- usually applied to sovereigns or states; a confederate.
Ally>>|<<v.>>|<<Anything associated with another as a helper; an auxiliary.
Ally>>|<<v.>>|<<Anything akin to another by structure, etc.
Amnesty>>|<<v.>>|<<Forgetfulness; cessation of remembrance of wrong; oblivion.
Amnesty>>|<<v.>>|<<An act of the sovereign power granting oblivion, or a general pardon, for a past offense, as to subjects concerned in an insurrection.
Amuse>>|<<v.>>|<<To occupy or engage the attention of; to lose in deep thought; to absorb; also, to distract; to bewilder.
Amuse>>|<<v.>>|<<To entertain or occupy in a pleasant manner; to stir with pleasing or mirthful emotions; to divert.
Amuse>>|<<v.>>|<<To keep in expectation; to beguile; to delude.
Apparaillyng>>|<<v.>>|<<Preparation.
Arrestee>>|<<v.>>|<<The person in whose hands is the property attached by arrestment.
Articulata>>|<<v.>>|<<One of the four subkingdoms in the classification of Cuvier. It has been much modified by later writers.
Articulata>>|<<v.>>|<<One of the subdivisions of the Brachiopoda, including those that have the shells united by a hinge.
Articulata>>|<<v.>>|<<A subdivision of the Crinoidea.
Assay>>|<<v.>>|<<To try; to attempt; to apply.
Assay>>|<<v.>>|<<To affect.
Assay>>|<<v.>>|<<To try tasting, as food or drink.
Assay>>|<<v.>>|<<To subject, as an ore, alloy, or other metallic compound, to chemical or metallurgical examination, in order to determine the amount of a particular metal contained in it, or to ascertain its composition.
Assent>>|<<v.>>|<<The act of assenting; the act of the mind in admitting or agreeing to anything; concurrence with approval; consent; agreement; acquiescence.
Assess>>|<<v.>>|<<To value; to make a valuation or official estimate of for the purpose of taxation.
Assess>>|<<v.>>|<<To apportion a sum to be paid by (a person, a community, or an estate), in the nature of a tax, fine, etc.; to impose a tax upon (a person, an estate, or an income) according to a rate or apportionment.
Assess>>|<<v.>>|<<To determine and impose a tax or fine upon (a person, community, estate, or income); to tax; as, the club assessed each member twenty-five cents.
Assess>>|<<v.>>|<<To fix or determine the rate or amount of.
Assessor>>|<<v.>>|<<One appointed or elected to assist a judge or magistrate with his special knowledge of the subject to be decided; as legal assessors, nautical assessors.
Assessor>>|<<v.>>|<<One who sits by another, as next in dignity, or as an assistant and adviser; an associate in office.
Assessor>>|<<v.>>|<<One appointed to assess persons or property for the purpose of taxation.
Assign>>|<<v.>>|<<A thing pertaining or belonging to something else; an appurtenance.
Assignee>>|<<v.>>|<<A person to whom an assignment is made; a person appointed or deputed by another to do some act, perform some business, or enjoy some right, privilege, or property; as, an assignee of a bankrupt. See Assignment (c).   An assignee may be by special appointment or deed, or be created by jaw; as an executor.
Assignee>>|<<v.>>|<<In England, the persons appointed, under a commission of bankruptcy, to manage the estate of a bankrupt for the benefit of his creditors.
Assize>>|<<v.>>|<<To assess; to value; to rate.
Assize>>|<<v.>>|<<To fix the weight, measure, or price of, by an ordinance or regulation of authority.
Asswage>>|<<v.>>|<<See Assuage.
Attaint>>|<<v.>>|<<A touch or hit.
Attaint>>|<<v.>>|<<A blow or wound on the leg of a horse, made by overreaching.
Attaint>>|<<v.>>|<<A writ which lies after judgment, to inquire whether a jury has given a false verdict in any court of record; also, the convicting of the jury so tried.
Attaint>>|<<v.>>|<<A stain or taint; disgrace. See Taint.
Attaint>>|<<v.>>|<<An infecting influence.
Bace>>|<<n., a., &amp; v.>>|<<See Base.
Bauk>>|<<n. &amp; v.>>|<<Alt. of Baulk
Baulk>>|<<n. &amp; v.>>|<<See Balk.
Beadle>>|<<v.>>|<<A messenger or crier of a court; a servitor; one who cites or bids persons to appear and answer; -- called also an apparitor or summoner.
Beadle>>|<<v.>>|<<An officer in a university, who precedes public processions of officers and students.
Beadle>>|<<v.>>|<<An inferior parish officer in England having a variety of duties, as the preservation of order in church service, the chastisement of petty offenders, etc.
Behight>>|<<v.>>|<<To promise; to vow.
Behight>>|<<v.>>|<<To give in trust; to commit; to intrust.
Behight>>|<<v.>>|<<To adjudge; to assign by authority.
Behight>>|<<v.>>|<<To mean, or intend.
Behight>>|<<v.>>|<<To consider or esteem to be; to declare to be.
Behight>>|<<v.>>|<<To call; to name; to address.
Behight>>|<<v.>>|<<To command; to order.
