Abandoning>>|<<p. pr. &amp; vb. n.>>|<<of Abandon
Abasing>>|<<p. pr. &amp; vb. n.>>|<<of Abase
Abashing>>|<<p. pr. &amp; vb. n.>>|<<of Abash
Abating>>|<<p. pr. &amp; vb. n.>>|<<of Abate
Abbreviating>>|<<p. pr. &amp; vb. n.>>|<<of Abbreviate
Abdicating>>|<<p. pr. &amp; vb. n.>>|<<of Abdicate
Abducing>>|<<p. pr. &amp; vb. n.>>|<<of Abduce
Abducting>>|<<p. pr. &amp; vb. n.>>|<<of Abduct
Abetting>>|<<p. pr. &amp; vb. n.>>|<<of Abet
Abhorring>>|<<p. pr. &amp; vb. n.>>|<<of Abhor
Abiding>>|<<p. pr. &amp; vb. n.>>|<<of Abide
Abjuring>>|<<p. pr. &amp; vb. n.>>|<<of Abjure
Abnegating>>|<<p. pr. &amp; vb. n.>>|<<of Abnegate
Abolishing>>|<<p. pr. &amp; vb. n.>>|<<of Abolish
Abominating>>|<<p. pr. &amp; vb. n.>>|<<of Abominate
Abounding>>|<<p. pr. &amp; vb. n.>>|<<of Abound
Abrading>>|<<p. pr. &amp; vb. n.>>|<<of Abrade
Abridging>>|<<p. pr. &amp; vb. n.>>|<<of Abridge
Abrogating>>|<<p. pr. &amp; vb. n.>>|<<of Abrogate
Absconding>>|<<p. pr. &amp; vb. n.>>|<<of Abscond
Absenting>>|<<p. pr. &amp; vb. n.>>|<<of Absent
Absolving>>|<<p. pr. &amp; vb. n.>>|<<of Absolve
Absorbing>>|<<p. pr. &amp; vb. n.>>|<<of Absorb
Abstaining>>|<<p. pr. &amp; vb. n.>>|<<of Abstain
Abstracting>>|<<p. pr. &amp; vb. n.>>|<<of Abstract
Abusing>>|<<p. pr. &amp; vb. n.>>|<<of Abuse
Abutting>>|<<p. pr. &amp; vb. n.>>|<<of Abut
Acceding>>|<<p. pr. &amp; vb. n.>>|<<of Accede
Accelerating>>|<<p. pr. &amp; vb. n.>>|<<of Accelerate
Accenting>>|<<p. pr. &amp; vb. n.>>|<<of Accent
Accentuating>>|<<p. pr. &amp; vb. n.>>|<<of Accentuate
Accepting>>|<<p. pr. &amp; vb. n.>>|<<of Accept
Acclimating>>|<<p. pr. &amp; vb. n.>>|<<of Acclimate
Acclimatizing>>|<<p. pr. &amp; vb. n.>>|<<of Acclimatize
Accommodating>>|<<p. pr. &amp; vb. n.>>|<<of Accommodate
Accompanying>>|<<p. pr. &amp; vb. n.>>|<<of Accompany
Accomplishing>>|<<p. pr. &amp; vb. n.>>|<<of Accomplish
According>>|<<p. pr. &amp; vb. n.>>|<<of Accord
Accosting>>|<<p. pr. &amp; vb. n.>>|<<of Accost
Accounting>>|<<p. pr. &amp; vb. n.>>|<<of Account
Accoutering>>|<<p. pr. &amp; vb. n.>>|<<of Accoutre
Accrediting>>|<<p. pr. &amp; vb. n.>>|<<of Accredit
Accruing>>|<<p. pr. &amp; vb. n.>>|<<of Accrue
Accumulating>>|<<p. pr. &amp; vb. n.>>|<<of Accumulate
Accusing>>|<<p. pr. &amp; vb. n.>>|<<of Accuse
Accustoming>>|<<p. pr. &amp; vb. n.>>|<<of Accustom
Acetifying>>|<<p. pr. &amp; vb. n.>>|<<of Acetify
Aching>>|<<p. pr. &amp; vb. n.>>|<<of Ache
Achieving>>|<<p. pr. &amp; vb. n.>>|<<of Achieve
Achromatizing>>|<<p. pr. &amp; vb. n.>>|<<of Achromatize
Acidifying>>|<<p. pr. &amp; vb. n.>>|<<of Acidify
Acidulating>>|<<p. pr. &amp; vb. n.>>|<<of Acidulate
Acknowledging>>|<<p. pr. &amp; vb. n.>>|<<of Acknowledge
Acquainting>>|<<p. pr. &amp; vb. n.>>|<<of Acquaint
Acquiescing>>|<<p. pr. &amp; vb. n.>>|<<of Acquiesce
Acquiring>>|<<p. pr. &amp; vb. n.>>|<<of Acquire
Acquitting>>|<<p. pr. &amp; vb. n.>>|<<of Acquit
Acting>>|<<p. pr. &amp; vb. n.>>|<<of Act
Actuating>>|<<p. pr. &amp; vb. n.>>|<<of Actuate
Adapting>>|<<p. pr. &amp; vb. n.>>|<<of Adapt
Adding>>|<<p. pr. &amp; vb. n.>>|<<of Add
Addicting>>|<<p. pr. &amp; vb. n.>>|<<of Addict
Addling>>|<<p. pr. &amp; vb. n.>>|<<of Addle
Addressing>>|<<p. pr. &amp; vb. n.>>|<<of Address
Adducing>>|<<p. pr. &amp; vb. n.>>|<<of Adduce
Adhering>>|<<p. pr. &amp; vb. n.>>|<<of Adhere
Adjectiving>>|<<p. pr. &amp; vb. n.>>|<<of Adjective
Adjoining>>|<<p. pr. &amp; vb. n.>>|<<of Adjoin
Adjourning>>|<<p. pr. &amp; vb. n.>>|<<of Adjourn
Adjudging>>|<<p. pr. &amp; vb. n.>>|<<of Adjudge
Adjudicating>>|<<p. pr. &amp; vb. n.>>|<<of Adjudicate
Adjuring>>|<<p. pr. &amp; vb. n.>>|<<of Adjure
Adjusting>>|<<p. pr. &amp; vb. n.>>|<<of Adjust
Administering>>|<<p. pr. &amp; vb. n.>>|<<of Administer
Admiring>>|<<p. pr. &amp; vb. n.>>|<<of Admire
Admitting>>|<<p. pr. &amp; vb. n.>>|<<of Admit
Admonishing>>|<<p. pr. &amp; vb. n.>>|<<of Admonish
Adopting>>|<<p. pr. &amp; vb. n.>>|<<of Adopt
Adoring>>|<<imp. &amp; p. p. Adored (/); p. pr. &amp; vb. n.>>|<<of Adore
Adorning>>|<<p. pr. &amp; vb. n.>>|<<of Adorn
Adulterating>>|<<p. pr. &amp; vb. n.>>|<<of Adulterate
Advancing>>|<<p. pr. &amp; vb. n.>>|<<of Advance
Advantaging>>|<<p. pr. &amp; vb. n.>>|<<of Advantage
Adventuring>>|<<p. pr. &amp; vb. n.>>|<<of Adventure
Adverting>>|<<p. pr. &amp; vb. n.>>|<<of Advert
Advertising>>|<<p. pr. &amp; vb. n.>>|<<of Advertise
Advising>>|<<p. pr. &amp; vb. n.>>|<<of Advise
Advocating>>|<<p. pr. &amp; vb. n.>>|<<of Advocate
Aerating>>|<<p. pr. &amp; vb. n.>>|<<of Aerate
Affecting>>|<<p. pr. &amp; vb. n.>>|<<of Affect
Affiliating>>|<<p. pr. &amp; vb. n.>>|<<of Affiliate
Affirming>>|<<p. pr. &amp; vb. n.>>|<<of Affirm
Affixing>>|<<p. pr. &amp; vb. n.>>|<<of Affix
Afflicting>>|<<p. pr. &amp; vb. n.>>|<<of Afflict
Affording>>|<<p. pr. &amp; vb. n.>>|<<of Afford
Affrighting>>|<<p. pr. &amp; vb. n.>>|<<of Affright
Affronting>>|<<p. pr. &amp; vb. n.>>|<<of Affront
Affusing>>|<<p. pr. &amp; vb. n.>>|<<of Affuse
Aging>>|<<p. pr. &amp; vb. n.>>|<<of Age
Agglomerating>>|<<p. pr. &amp; vb. n.>>|<<of Agglomerate
Agglutinating>>|<<p. pr. &amp; vb. n.>>|<<of Agglutinate
Aggrandizing>>|<<p. pr. &amp; vb. n.>>|<<of Aggrandize
Aggravating>>|<<p. pr. &amp; vb. n.>>|<<of Aggravate
Aggregating>>|<<p. pr. &amp; vb. n.>>|<<of Aggregate
Aggressing>>|<<p. pr. &amp; vb. n.>>|<<of Aggress
Aggrieving>>|<<p. pr. &amp; vb. n.>>|<<of Aggrieve
Aggrouping>>|<<p. pr. &amp; vb. n.>>|<<of Aggroup
Agitating>>|<<p. pr. &amp; vb. n.>>|<<of Agitate
Agonizing>>|<<p. pr. &amp; vb. n.>>|<<of Agonize
Agreeing>>|<<p. pr. &amp; vb. n.>>|<<of Agree
Aiding>>|<<p. pr. &amp; vb. n.>>|<<of Aid
Ailing>>|<<p. pr. &amp; vb. n.>>|<<of Ail
Aiming>>|<<p. pr. &amp; vb. n.>>|<<of Aim
Airing>>|<<p. pr. &amp; vb. n.>>|<<of Air
Alarming>>|<<p. pr. &amp; vb. n.>>|<<of Alarm
Albumenizing>>|<<p. pr. &amp; vb. n.>>|<<of Albumenize
Alcoholizing>>|<<p. pr. &amp; vb. n.>>|<<of Alcoholize
Alienating>>|<<p. pr. &amp; vb. n.>>|<<of Alienate
Alighting>>|<<p. pr. &amp; vb. n.>>|<<of Alight
Alkalifying>>|<<p. pr. &amp; vb. n.>>|<<of Alkalify
Alkalizing>>|<<p. pr. &amp; vb. n.>>|<<of Alkalize
Allaying>>|<<p. pr. &amp; vb. n.>>|<<of Allay
Alleging>>|<<p. pr. &amp; vb. n.>>|<<of Allege
Allegorizing>>|<<p. pr. &amp; vb. n.>>|<<of Allegorize
Alleviating>>|<<p. pr. &amp; vb. n.>>|<<of Alleviate
Allotting>>|<<p. pr. &amp; vb. n.>>|<<of Allot
Allowing>>|<<p. pr. &amp; vb. n.>>|<<of Allow
Alloying>>|<<p. pr. &amp; vb. n.>>|<<of Alloy
Alluding>>|<<p. pr. &amp; vb. n.>>|<<of Allude
Alluring>>|<<p. pr. &amp; vb. n.>>|<<of Allure
Allying>>|<<p. pr. &amp; vb. n.>>|<<of Ally
Altering>>|<<p. pr. &amp; vb. n.>>|<<of Alter
Altercating>>|<<p. pr. &amp; vb. n.>>|<<of Altercate
Alternating>>|<<p. pr. &amp; vb. n.>>|<<of Alternate
Amalgamating>>|<<p. pr. &amp; vb. n.>>|<<of Amalgamate
Amassing>>|<<p. pr. &amp; vb. n.>>|<<of Amass
Amazing>>|<<p. pr. &amp; vb. n.>>|<<of Amaze
Ambling>>|<<p. pr. &amp; vb. n.>>|<<of Amble
Ambuscading>>|<<p. pr. &amp; vb. n.>>|<<of Ambuscade
Ambushing>>|<<p. pr. &amp; vb. n.>>|<<of Ambush
Ameliorating>>|<<p. pr. &amp; vb. n.>>|<<of Ameliorate
Amending>>|<<p. pr. &amp; vb. n.>>|<<of Amend
Amercing>>|<<p. pr. &amp; vb. n.>>|<<of Amerce
Americanizing>>|<<p. pr. &amp; vb. n.>>|<<of Americanize
Ammunitioning>>|<<p pr. &amp; vb. n.>>|<<of Ammunition
Amnestying>>|<<p. pr. &amp; vb. n.>>|<<of Amnesty
Amounting>>|<<p. pr. &amp; vb. n.>>|<<of Amount
Amplifying>>|<<p. pr. &amp; vb. n.>>|<<of Amplify
Amputating>>|<<p. pr. &amp; vb. n.>>|<<of Amputate
Amusing>>|<<p. pr. &amp; vb. n.>>|<<of Amuse
Analyzing>>|<<p. pr. &amp; vb. n.>>|<<of Analyze
Anastomosing>>|<<p. pr. &amp; vb. n.>>|<<of Anastomose
Anathematizing>>|<<p. pr. &amp; vb. n.>>|<<of Anathematize
Anatomizing>>|<<p. pr. &amp; vb. n.>>|<<of Anatomize
Anchoring>>|<<p. pr. &amp; vb. n.>>|<<of Anchor
Anchylosing>>|<<p. pr. &amp; vb. n.>>|<<of Anchylose
Angering>>|<<p. pr. &amp; vb. n.>>|<<of Anger
Angling>>|<<p. pr. &amp; vb. n.>>|<<of Angle
Anglicizing>>|<<p. pr. &amp; vb. n.>>|<<of Anglicize
Anglifying>>|<<p. pr. &amp; vb. n.>>|<<of Anglify
Animadverting>>|<<p. pr. &amp; vb. n.>>|<<of Animadvert
Animalizing>>|<<p. pr. &amp; vb. n.>>|<<of Animalize
Animating>>|<<p. pr. &amp; vb. n.>>|<<of Animate
Annealing>>|<<p. pr. &amp; vb. n.>>|<<of Anneal
Annexing>>|<<p. pr. &amp; vb. n.>>|<<of Annex
Annihilating>>|<<p. pr. &amp; vb. n.>>|<<of Annihilate
Annotating>>|<<p. pr. &amp; vb. n.>>|<<of Annotate
Announcing>>|<<p. pr. &amp; vb. n.>>|<<of Announce
Annoying>>|<<p. pr. &amp; vb. n.>>|<<of Annoy
Annulling>>|<<p. pr. &amp; vb. n.>>|<<of Annul
Annunciating>>|<<p. pr. &amp; vb. n.>>|<<of Annunciate
Anointing>>|<<p. pr. &amp; vb. n.>>|<<of Anoint
Answering>>|<<p. pr. &amp; vb. n.>>|<<of Answer
Antagonozing>>|<<p. pr. &amp; vb. n.>>|<<of Antagonize
Antedating>>|<<p. pr. &amp; vb. n.>>|<<of Antedate
